Tweet,Label
aaa kakk dah vaksin pulang mam minum obat darah dah darah,Setuju Vaksin
aaa tempat vaksin pulang,Setuju Vaksin
abis dpt vaksin sekolah ajar ptm ya nggak daring lg ya,Setuju Vaksin
abis vaksin,Setuju Vaksin
abis vaksin bawa ngantuk,Setuju Vaksin
abis vaksin bknny lmes mlh hyperactive curiga td disuntikny bantu dana bos,Setuju Vaksin
abis vaksin bole minum boba ga sih,Setuju Vaksin
abis vaksin cinta,Setuju Vaksin
abis vaksin dosis imun kuat bersin mulu duuh,Setuju Vaksin
abis vaksin gak titan,Setuju Vaksin
abis vaksin gel banget dah tangan,Setuju Vaksin
abis vaksin lemes banget,Setuju Vaksin
abis vaksin masuk malem mending tidur yay or nay,Setuju Vaksin
abis vaksin trs rehat dlu yaa,Setuju Vaksin
abis vaksin udh ngerasa lemes yah,Setuju Vaksin
aceh tenggara tambah vaksin,Setuju Vaksin
adek gue daftar vaksin kampus jam sampe skrg antre krn acak ga no antri,Setuju Vaksin
admin maaf program vaksinasi sms besok tanggal november buka jam ya tgl okt vaksin dosis jadwal nya vaksin dosis besok tgl november tp diberitahukan tq,Setuju Vaksin
agen berangkat ya langsung cuman keluarga tau nih vaksin macem,Setuju Vaksin
ah anjir lupa donlot apk peduli ap gt bwat dta vaksin,Setuju Vaksin
aja minimal kali vaksin masuk monas pake pedulilindungi,Setuju Vaksin
aja selesai vaksin pfizer dosis moga ga gejala efek aneh deh entar w report jam vaksin,Setuju Vaksin
aja selesai vaksin pusing ya,Setuju Vaksin
ajar perlu mohon daftar fizikal takluk ajar lengkap dos vaksin lepas tempoh kesan smp sekian harap maklum,Setuju Vaksin
ak dah periksa udah done vaksin tu pas lihat kartu vaksin kaga,Setuju Vaksin
ak habis vaksin tangan copot,Setuju Vaksin
ak mlh tepar bgt abis vaksin,Setuju Vaksin
ak vaksin ga nng sekul,Setuju Vaksin
akan tdk rela merck rilis molnupiravir tx covid pfizer ijin fda approved obat anti virus nama paxlovid yg klaim kurang resiko hospital saham vaksin anjlok molnupiravir pfizer coba rilis obat antivirus,Tidak Setuju
alhamdulillah org da boosters vaksin ak complete nd dose hahaha,Setuju Vaksin
alhamdulillah sragen nihil tambah positif covid cakup vaksin juta,Setuju Vaksin
alia mager vaksin,Tidak Setuju
ampuh nurunin demam habis vaksin kemaren minum ampuh dah laku lu emang aja,Setuju Vaksin
aneh banget dah orang vaksin nya sinovac kartu nya moderna,Setuju Vaksin
angka imunogenisitas respons imun tubuh anak imunogenisitas orang dewasa aspek aman vaksin sinovac coronavac biofarma aman anak usia,Setuju Vaksin
anjer nape vaksin rasa bet pas suntik,Setuju Vaksin
anjir besok gw vaksin moga ga nang anjim malu bangettt,Setuju Vaksin
anjir kantor gue pindah tanggal ga vaksin dah,Setuju Vaksin
antre vaksin sko jam stngah nganti saiki ko ra panggil,Setuju Vaksin
antri vaksin antri pambagian sembakau,Setuju Vaksin
anyink vaksin beneran sakit euy ueue,Setuju Vaksin
artis ni mmg kena royan dah taknak vaksin tu la duduk jelah diam,Setuju Vaksin
asa rame oposisi deh pcr vaksin ntat bilang covidiot,Setuju Vaksin
asik bener orang nostalgia gegara pisah sm pola kerja wfh pandemi ngga ngerasain wfh kecuali gara badan remuk habis vaksin sm balung mrotol pasca lapang,Setuju Vaksin
asli sakit banget pergi vaksin sumpiuh jalan daendels kroya jalan liat truk ken banting stir kanan biar mati nyoba kuat kalo keinget nang henti ngelap ingus asli sakit banget,Setuju Vaksin
astagfirullah kelamin vaksin buka,Tidak Setuju
atas bhabinkamtibmas bantu warga bingung isi formulis vaksinasi humanis aiptu pujo laras bantu warga laksana vaksin lancar salamsehatdaripolseksungairaya,Setuju Vaksin
atur vaksin skirt aussies sijil pasar gelap,Setuju Vaksin
australia berika booster vaksin covid jenis pfizer longgar batas,Setuju Vaksin
australia booster vaksin covid jenis pfizer longgar batas,Setuju Vaksin
australia vaksin pfizer booster,Setuju Vaksin
awal sih ngga lumayan gue ngga sampe gaada demam vaksin lupa sarap minum imun nya kuat hehe,Setuju Vaksin
axl udah vaksin blm tad,Setuju Vaksin
ayo vaksin covid vaksinasi patuhprokeslawancovid,Setuju Vaksin
ayo vaksin gaes vaksinjagorawi vaksindrivethru vaksincitos vaksintni serbuanvaksin serbuanvaksintni vaksinasipulihkanri vaksinsuksesredakancovid,Setuju Vaksin
ayo vaksin hidup makna,Setuju Vaksin
ayo vaksin ikut atur ppkm,Setuju Vaksin
ayo vaksin patuh protokol sehat polresmeranginupdate rangin disiplinprotokolkesehatan,Setuju Vaksin
ayovaksin ppkm vaksinasinasional ppkmturunkancovid vaksin vaksin indonesiasehatindonesiahebat bersatulawancovid tangkalcovid aliansipejuangcovid sukseskanvaksin indonesialawancovid lawancovid covid indonesia jokowikeren,Setuju Vaksin
babinsa desa lonrong sertu kamiluddin koramil eremerasa kodim bantaeng laksana giat komsos warga paham warga masyarakat indah himbauan perintah dampak positif beri vaksin,Setuju Vaksin
babinsa lurah karet tengsin peltu basuki pilar monitor giat vaksin warga kel karet tengsin tempat rptra intiland teduh,Setuju Vaksin
baca kontrak vaksin ilegal rahasia --,Tidak Setuju
badan awas obat makan bpom keluar izin guna vaksin covid buat usaha china sinovac anak usia enam dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
badan awas obat makan bpom tlah keluar izin guna vaksin sinovac anak respons wakil ketua komisi ix dpr ri charles honor kemenkes cepat vaksin tuk anak dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
badan pom izin vaksin sinovac anak usia vaksin sinovac anak republik rakyat tiongkok bukti aman efektif muncul respon imun dasar uji klinis fase i ii sumber akselerasivaksinasipolri,Setuju Vaksin
badan pom izin vaksin sinovac anak usia vaksin sinovac anak republik rakyat tiongkok bukti aman efektif muncul respon imun dasar uji klinis fase i ii sumber akselerasivaksinasipolri cipta herd immunity,Setuju Vaksin
bagus kaji utk puas hati elok kkm kaji kaedah saintifik pseudosains yg pegang ramai antivaks tu hasil dapat kesan golong antivaks terima sanggup ambil vaksin ka renung ja,Setuju Vaksin
baidu hasil rilis algoritma ai linearfold tim ilmu tim medis kembang vaksin tahap pandemi sars-cov,Setuju Vaksin
banget kak cv ijazah transkrip nilai ktp vaksin aduh bingung,Tidak Setuju
beda banget feel nya vaksin,Setuju Vaksin
beda jg dg teman wakaland yg covid vaksin konspirasi berani pakai akun anon hujat nakes yg jg korban bijak turun jalan tuh babeh aldo aja dah turun buih ngoceh,Setuju Vaksin
beneran klo vaksin ngilangin biasa sariawan ya rajin vaksin,Setuju Vaksin
ber syukur deh kak sdh vaksin yg jg,Setuju Vaksin
berat alemong tambah kali rowan temu dengan iring jalan alemong tumbuh kajja vaksin anak mama sembari jalan gendong koala,Setuju Vaksin
beres klo ritual kek gitu mbak cha cuman semalem nonton bola trs pagi vaksin ditanyain dokter knp darah rendah efek semalem nonton bola tim imbang bu uda suntik aja kena bu aja pasrah buru sy dpt sertifikat vaksin,Setuju Vaksin
berhala yg sakti surat vaksin,Setuju Vaksin
berita edar vaksin covid bikin mandul rem berita antibiotik cegah virus corona mandi,Tidak Setuju
besok libur hahaayy untung udah vaksin duluan,Setuju Vaksin
besok pagi vaksin sore uts,Setuju Vaksin
betull vaksin gaada,Setuju Vaksin
bgr info vaksin dosis az tanggal mana aja ya,Setuju Vaksin
bhabinkamtibmas desa sukarukun aiptu basuki rochmat laksana aman monitoring giat vaksinasi covid dosis vaksin astrazeneca kantor desa sukarukun kec sukatani senin aiptu basuki menghimbau warga tertib patuh prokes,Setuju Vaksin
bhabinkamtibmas laksana pantau aman giat beri vaksin masyarakat kantor desa legundi camat bantaran kab probolinggo kemenpanrb pelayananpublik kipp jawatimurbangkit polisiindonesia polripresisi,Setuju Vaksin
biar nggak tuduh kalo vaksin kali nggak pakai pcr bos kalo vaksin pakai pcr biar rakyat vaksin,Tidak Setuju
biasa suka telat siang gin gakdapet kuota vaksin lupa nanya orang dalem,Setuju Vaksin
big bird dah pesan suruh vaksin dr thn,Setuju Vaksin
bikin pabrik vaksin,Tidak Setuju
bisnis vaksin bgm gak,Tidak Setuju
bkan g vaksin vaksin dah full kere wkwk,Tidak Setuju
blh kah q vaksin,Setuju Vaksin
blm vaksin kali,Setuju Vaksin
blum biji data g diinput yg bingung kontakin ikut vaksin massal,Setuju Vaksin
bnr om klo udh vaksin tnang mo jln mana jg,Setuju Vaksin
bnr vaksin sakit,Setuju Vaksin
bocor ksp gigit vaksin vs pcr rakyat korban,Setuju Vaksin
bokap gw comorbid gw larang vaksin apa alas ga gw terima dihimbau vaksin yg tanggung nyawa gak serep nya euy,Tidak Setuju
bom vaksin kejar vaksin kondisi kelar isoman skrg vaksin izin diribetin suruh tetep masuk kerja ga tau kejar engga cuti wkwkwkwkwk lawak dah cuti mah,Setuju Vaksin
boyong jakarta istri jkt info vaksinasi jd istri vaksin astrazeneca dosis jakarta,Setuju Vaksin
bpom keluar ijin guna vaksin sinovac utk anak umur th utk kemenkes cepat proses vaksinasi anak proses vaksinasi anak tdk tunggu smp dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
bpom keluar izin guna vaksin sinovac anak respons komisi ix dpr ri charles honor kemenkes cepat proses vaksinasi anak langkah lindung tular covid dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
bpom keluar izin guna vaksin sinovac anak respons wakil ketua komisi ix dpr ri charles honor kemenkes cepat proses vaksinasi anak langkah lindung tular covid dpruntuknegeri,Setuju Vaksin
bpom keluar izin guna vaksin sinovac anak vaksinasi anak harap cepat normalisasi proses ajar dunia didik dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
btw vaksin yg bun,Setuju Vaksin
buka umroh jamaah indonesia raja arab saudi laku regulasi wajib vaksin boster jamaah,Setuju Vaksin
caki dh vaksin,Setuju Vaksin
cantik banget sksksksksm maju lo pawang gue ga takut gue udah vaksin,Setuju Vaksin
cegah gelombang vaksin jokowima ruf pimpin baik,Setuju Vaksin
cek fakta vaksin aman via,Setuju Vaksin
cepat sebar vaksin tuk anak anak,Setuju Vaksin
cerita ga sengaja ketemu pas vaksin trs vaksin bareng wkwkkw,Setuju Vaksin
cerita sih pas vaksin takut sih,Setuju Vaksin
ceroboh felis gabawa kk pas vaksin,Setuju Vaksin
charles honor saran agr realisasi vaksinasi covid utk anak tunggu charles sebut bpom sdh terbit izin guna darurat bg vaksin sinovac utk diberikn kpd anak th dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
charles populasi anak usia perintah sedia stok distribusi vaksin anak nusantara dpruntuknegeri dengar aspirasi rakyat,Setuju Vaksin
choi hyunsuk maju lo gw gk takut udah vaksin,Setuju Vaksin
cipta herd immunity ulama tokoh masyarakat perintah ajak masyarakat takut vaksin covid vaksin covid aman halal jokowima ruf pimpin baik,Setuju Vaksin
cm halo teman teman bantu isi kuesioner tugas ga kuesioner hubung dgn terima vaksin mohon bantu teman temann,Setuju Vaksin
coba vaksin dosis kak biar pede interviewnya,Setuju Vaksin
coba vaksin jarum gede cepet,Setuju Vaksin
coffee after vaksin,Setuju Vaksin
covid eropa lonjak data negara tinggal vaksinasi covid benua kaya vaksin,Setuju Vaksin
cuman mikir bayar pikir vaksin yg gratis perintah belanja pake uang klo semu gratis g manja apa gratis terus bu g tau mekanisme tuju pcr bayar,Setuju Vaksin
daftar orang suntik vaksin covid cek orang vaksin,Setuju Vaksin
daftar vaksin pedulilindungi gaa,Setuju Vaksin
dah vaksin bom yuk dateng vaksinjagorawi vaksindrivethru vaksincitos vaksintni serbuanvaksin serbuanvaksintni vaksinasipulihkanri vaksinsuksesredakancovid,Setuju Vaksin
dampak vaksin,Setuju Vaksin
damping org yg tua yg vaksin,Setuju Vaksin
danramil bissappu kapten inf sultan babinsa serma samaing ikut giat silaturahmi sosialisasi vaksin covid laksana aula kantor desa bonto tiro kec sinoa kabupaten bantaeng senin,Setuju Vaksin
dapet vaksin ya,Setuju Vaksin
deg-degan karna blm vaksin dosis,Setuju Vaksin
demo malbourne anti psksa vaksin sabtu kmaren,Setuju Vaksin
desain main karya imac apple chip m rp story-i kunjung story-i dekat ikut protokol sehat pasti terima vaksin ya,Setuju Vaksin
dinas dagang sosialisasi pasar nya bawa sertifikat vaksin mana acara jalan lancar fokus dengar sempe muncul mbokde mbokde random sertifikat vaksin niku digade angsal mboten yoo bubarr bubarr,Setuju Vaksin
diwanek-waneke suntik vaksin ben kuat fisike sek serang atine,Setuju Vaksin
dlu wktu vaksin tpi ttp absen sbnrnya gausah izin sih izin temen sie tanggung jwb matkul trs nnti tinggal absen aja sks full klo ga full cm gr absen eman eman,Setuju Vaksin
dmn kak dpt vaksin,Setuju Vaksin
dosis efek ngilu demam cepet laper yg gak efek bang vaksin astra,Setuju Vaksin
dosis pake vaksin,Setuju Vaksin
dosis susah cari jakarta anak sampe utara lho vaksin nya,Setuju Vaksin
dosis vaksin siap warga terima vaksinasi jenis vaksin sinovac dosis dosis vaksin jenis astrazeneca pdiperjuangan solidbergerak,Setuju Vaksin
download sertifikat vaksin pedulilindungi,Setuju Vaksin
dpr vaksin aman kantong izin darurat bpom zifivax jokowima ruf pimpin baik,Setuju Vaksin
dr klinik dkt kampung gak percaya vaksin eh and jdi mata serammm,Tidak Setuju
dukung positif masyarakat sukses program vaksin covid,Setuju Vaksin
dukung positif masyarakat sukses program vaksin covid jokowima ruf pimpin baik,Setuju Vaksin
durung vaksin maap ya xixixi,Setuju Vaksin
edar klaim iklan isi ingat bahaya stroke akibat sunti vaksin covid kumparannews,Setuju Vaksin
efek samping vaksin covid sebab stroke anak,Setuju Vaksin
eh renjun udh vaksin bom ya,Setuju Vaksin
eh serius nanya vaksin sampe kali sih,Setuju Vaksin
emak gue sertifikat vaksin nya ga et dah pdhal kemaren dah ngadu vaksin,Setuju Vaksin
emang full vaksin ga kena,Setuju Vaksin
emang ngantuk si klo abis vaksin,Setuju Vaksin
emang vaksin anu ya pegal ampe,Setuju Vaksin
emg udah vaksin blm sih,Setuju Vaksin
enak kali papa besok vaksin tiga iriiieee,Setuju Vaksin
entuk vit sing ra entuk ki bar vaksin vaksin teh,Setuju Vaksin
eropa udah konser teh emang kaya duduk udah vaksin teh,Setuju Vaksin
fact check benar sdh suntik kejang otot parah terus bkn ayan jgn dibelokin fact check ban bkn krn vaksin klaim salah enak aja fact check kl ngomong nama hipotesa ban asli benernya,Setuju Vaksin
fak niat malem vaksin nnt siang cus kampus rumah kosong serta kendara nya,Setuju Vaksin
fakta alhamdulillah anggota vaksin sehat wal afiat,Setuju Vaksin
fatwa mui masyarakat takut vaksin jokowima ruf pimpin baik,Setuju Vaksin
final cari gua utk butuh vaksin habis sembuh covid skrg bulan sembuh uda temen yg nawarin nolak krn msh laku atur sembuh vaksin,Setuju Vaksin
for real rd dose rakyat jelata cakup st nd dose aja rakyat emang genjot ken vaksin aja hmm,Tidak Setuju
foto ble ga sig ajdgsb gbs nntn lg vaksin,Setuju Vaksin
ga lo sender ga takut gue gue udah vaksin kali,Setuju Vaksin
ga lucu bgt ni gua nahan mleyot ngantri vaksin,Setuju Vaksin
ga sih badan lemes aja tp td vaksin wkwkw,Setuju Vaksin
gaaa jenis vaksin beda,Setuju Vaksin
gabungin yg surat lamar cv file pdf pdf isi ijazah transkrip ktp vaksin dll gt,Setuju Vaksin
gabut nunggu vaksin enak ngapain,Setuju Vaksin
gaby dah selesai vaksin,Setuju Vaksin
gadis langsung dekat salah staff gendong koala permisi booking vaksin sodor lembar kertas vaksin koala,Setuju Vaksin
gaiss sertifikat vksin kalo udah vaksin ya vaksin trus pas nyoba gaada sertifikat,Setuju Vaksin
gajadi ketang vaksin sinovac,Setuju Vaksin
gak krn ntar deteksi merah kalo kuning masuk kalo kali hijau banget masuk knp blm vaksin nder,Setuju Vaksin
gak papa vaksin x ayo sakinin,Setuju Vaksin
gak semangat makji badan rasany sakit smua krna hbis vaksin smpai rumah kerja tugas,Setuju Vaksin
gak sih kartu vaksin ku udah loh pas lapor gak tanggap suruh lapor gak klo gak sertifikat gak pesawat pedulilindungi,Setuju Vaksin
gak vaksin mnyeeet udh bangun pagi hmmm,Setuju Vaksin
gak w vaksin nih kalo kek gin,Setuju Vaksin
gantung kereta jarak tempuh kalo deket gak pake antigen kemaren joglosemar gak dipcr dsj cuman uda vaksin blom,Setuju Vaksin
gaoaoa tipes dikit skies udh vaksin,Setuju Vaksin
gapapa gapapaaku udh vaksin kali kuat hebat gapapa ayooo,Setuju Vaksin
gapapa gue dah vaksin x,Setuju Vaksin
gapapa gue udah vaksin kali,Setuju Vaksin
gapapa uda vaksin temen ku gitu,Setuju Vaksin
garda depan hadir babe aldo aju protes kantor gubernur ttg mandatory vaksin rencana aksi jg november sjk vaksin jd wajib aja,Setuju Vaksin
gatau gue abis vaksin pusing pingsan deh,Setuju Vaksin
gel deh abis vaksin,Setuju Vaksin
gencar vaksinasi gerai vaksin presisi polres polman eks ajak masyarat kabupaten polman ramai gerai vaksin polres polman,Setuju Vaksin
generasi gw gininih aja temen gue cuek vaksin pas trailer no way home langsung daftar biar masuk mall,Setuju Vaksin
gerai vaksin presisi gedung serba kelapa kampit cepat vaksinasi target masyarakat ayoo vaksin beltim manggar laskarpelangi warungkopi covid prokes,Setuju Vaksin
gerai vaksin presisi polres brebes hadir islamic center brebes dosis dosis vaksin masyarakat giat rangka cepat vaksinasi polda jawa ingatpesanibu m,Setuju Vaksin
gerai vaksin presisi polres padang pariaman akbpdianugrahahbwps polrespadangpariaman cepatdekatbersahabat adaptasikebiasaanbaru patriotdigitalpolri,Setuju Vaksin
gerai vaksin presisi pulau buku limau cepat vaksinasi target masyarakat ayoo vaksin beltim manggar laskarpelangi warungkopi covid prokes,Setuju Vaksin
geus vaksin,Setuju Vaksin
giat keroyok vaksin lurah majasari kota prabumulih senin november bedesau,Setuju Vaksin
giat keroyok vaksin sd it islahul huma kota prabumulih senin november,Setuju Vaksin
giat personil bhabinkamtibmas polsek binjai timur kel datar aiptu s sigalingging damping tim vaksinator laksana sunti vaksin dosis lansia sari rumah rumah,Setuju Vaksin
giat vaksin imun patemon,Setuju Vaksin
gimana ya pas vaksin cek kalo gue vaksin tam sinovac tp sertifikat tulis moderna uda lanjur vaksin sinovac aman ga sih,Setuju Vaksin
gitu amat liat rakyat giat vaksin rakyat jaga aman ppkm kecuali yg bela rakyat sengketa tanah dgn usaha mutasi,Setuju Vaksin
gitu janji kalo vaksin x tp kalah ama yg bisnis pcr,Setuju Vaksin
gpp serius gpp gw udah vaksin x,Setuju Vaksin
gua fikir biar mrk duluan yg kena covid ato org yg butuh dgn banyak antri uda pesimis duluan bulan cari info vaksin pulkampun dapet sedih sih sedih bgt,Setuju Vaksin
gua harini vaksin gajadi tempat aja kkk,Setuju Vaksin
gua lg vaksin nih nauh banget rumah,Setuju Vaksin
gua lupa kalo yg vaksin warna ubah ngejreng bgt maaf friends salah setting rgb cmyk,Setuju Vaksin
gue abis vaksin buka twitter,Setuju Vaksin
gue abis vaksin gas nya neng vaksin mana aja neng gue mah haha hehe hihi aja kek orang bego,Setuju Vaksin
gue gk takut lo gue udh vaksin kali,Setuju Vaksin
gue kuat udah vaksin kali maju lo,Setuju Vaksin
gue neng deh enggak nyempetin nonton bagi eaj performance hehehe antri vaksin pen ngakak kalo inget tensi gue,Setuju Vaksin
gue pas udh kelar auto ngantuk sumpah vaksin,Setuju Vaksin
gue udah vaksin dosis tinggal nunggu jadwal dosis,Setuju Vaksin
gue vaksin,Setuju Vaksin
guys ayo yuk bom vaksin segera kalo coba taat prokes rasa konser konser,Setuju Vaksin
guys ayok vaksin udah vaksin lupa taat protokol sehat stay safee everybodyhhh,Setuju Vaksin
gw alhamdullilah vaksin sm ga ngerasa ad efek om,Setuju Vaksin
gw gamau vaksin,Tidak Setuju
gwa gatakut dah vaksin,Setuju Vaksin
habis vaksin,Setuju Vaksin
habis vaksin astra puyeng gin,Setuju Vaksin
habis vaksin bro vaksin rabies,Setuju Vaksin
habis vaksin demam pusing mual,Setuju Vaksin
habis vaksin dosis moderna tadi kelas yaa izin telat eh pas masuk menit kelas dah selesai pas perjalann udah ngebut biasanta menit jd menit tangan sakit,Setuju Vaksin
habis vaksin ga sakit pas dtg,Setuju Vaksin
habis vaksin gabut dikmr,Setuju Vaksin
habis vaksin hrus istirahat total yah,Setuju Vaksin
habis vaksin makji,Setuju Vaksin
habis vaksin mending langsung tidur baca novel ya,Setuju Vaksin
hah iyahkah km vaksin yg ap,Setuju Vaksin
hahaah enak deh libur hari gin hehehehehe alas demam abis vaksin,Setuju Vaksin
hahaha udah vaksin,Setuju Vaksin
